date,city,total_cases
2020-03-12,Florianópolis,2.0
2020-03-13,Florianópolis,2.0
2020-03-14,Florianópolis,2.0
2020-03-15,Florianópolis,2.0
2020-03-16,Florianópolis,3.0
2020-03-17,Florianópolis,3.0
2020-03-18,Florianópolis,5.0
2020-03-19,Florianópolis,6.0
2020-03-20,Florianópolis,8.0
2020-03-21,Florianópolis,10.0
2020-03-22,Florianópolis,10.0
2020-03-23,Florianópolis,15.0
2020-03-24,Florianópolis,20.0
2020-03-25,Florianópolis,16.0
2020-03-26,Florianópolis,20.0
2020-03-27,Florianópolis,27.0
2020-03-28,Florianópolis,30.0
2020-03-29,Florianópolis,40.0
2020-03-30,Florianópolis,50.0
2020-03-31,Florianópolis,58.0
2020-04-01,Florianópolis,60.0
2020-04-02,Florianópolis,71.0
2020-04-03,Florianópolis,78.0
2020-04-04,Florianópolis,90.0
2020-03-12,Itajaí,0.0
2020-03-13,Itajaí,0.0
2020-03-14,Itajaí,0.0
2020-03-15,Itajaí,0.0
2020-03-16,Itajaí,0.0
2020-03-17,Itajaí,0.0
2020-03-18,Itajaí,0.0
2020-03-19,Itajaí,0.0
2020-03-20,Itajaí,1.0
2020-03-21,Itajaí,6.0
2020-03-22,Itajaí,7.0
2020-03-23,Itajaí,7.0
2020-03-24,Itajaí,10.0
2020-03-25,Itajaí,12.0
2020-03-26,Itajaí,16.0
2020-03-27,Itajaí,18.0
2020-03-28,Itajaí,18.0
2020-03-29,Itajaí,18.0
2020-03-30,Itajaí,18.0
2020-03-31,Itajaí,18.0
2020-04-01,Itajaí,18.0
2020-04-02,Itajaí,19.0
2020-04-03,Itajaí,19.0
2020-04-04,Itajaí,20.0
2020-03-12,Criciúma,0.0
2020-03-13,Criciúma,0.0
2020-03-14,Criciúma,0.0
2020-03-15,Criciúma,0.0
2020-03-16,Criciúma,0.0
2020-03-17,Criciúma,0.0
2020-03-18,Criciúma,0.0
2020-03-19,Criciúma,0.0
2020-03-20,Criciúma,1.0
2020-03-21,Criciúma,6.0
2020-03-22,Criciúma,7.0
2020-03-23,Criciúma,9.0
2020-03-24,Criciúma,9.0
2020-03-25,Criciúma,11.0
2020-03-26,Criciúma,12.0
2020-03-27,Criciúma,12.0
2020-03-28,Criciúma,13.0
2020-03-29,Criciúma,13.0
2020-03-30,Criciúma,15.0
2020-03-31,Criciúma,17.0
2020-04-01,Criciúma,21.0
2020-04-02,Criciúma,23.0
2020-04-03,Criciúma,23.0
2020-04-04,Criciúma,23.0
2020-03-12,Blumenau,0.0
2020-03-13,Blumenau,0.0
2020-03-14,Blumenau,0.0
2020-03-15,Blumenau,0.0
2020-03-16,Blumenau,0.0
2020-03-17,Blumenau,0.0
2020-03-18,Blumenau,0.0
2020-03-19,Blumenau,0.0
2020-03-20,Blumenau,0.0
2020-03-21,Blumenau,0.0
2020-03-22,Blumenau,6.0
2020-03-23,Blumenau,7.0
2020-03-24,Blumenau,7.0
2020-03-25,Blumenau,9.0
2020-03-26,Blumenau,12.0
2020-03-27,Blumenau,12.0
2020-03-28,Blumenau,12.0
2020-03-29,Blumenau,12.0
2020-03-30,Blumenau,14.0
2020-03-31,Blumenau,19.0
2020-04-01,Blumenau,22.0
2020-04-02,Blumenau,22.0
2020-04-03,Blumenau,24.0
2020-04-04,Blumenau,25.0
2020-03-12,Braço do Norte,0.0
2020-03-13,Braço do Norte,0.0
2020-03-14,Braço do Norte,0.0
2020-03-15,Braço do Norte,1.0
2020-03-16,Braço do Norte,1.0
2020-03-17,Braço do Norte,1.0
2020-03-18,Braço do Norte,2.0
2020-03-19,Braço do Norte,4.0
2020-03-20,Braço do Norte,4.0
2020-03-21,Braço do Norte,6.0
2020-03-22,Braço do Norte,7.0
2020-03-23,Braço do Norte,9.0
2020-03-24,Braço do Norte,9.0
2020-03-25,Braço do Norte,9.0
2020-03-26,Braço do Norte,9.0
2020-03-27,Braço do Norte,9.0
2020-03-28,Braço do Norte,12.0
2020-03-29,Braço do Norte,12.0
2020-03-30,Braço do Norte,12.0
2020-03-31,Braço do Norte,12.0
2020-04-01,Braço do Norte,12.0
2020-04-02,Braço do Norte,12.0
2020-04-03,Braço do Norte,12.0
2020-04-04,Braço do Norte,15.0
2020-03-12,Balneário Camboriú,0.0
2020-03-13,Balneário Camboriú,0.0
2020-03-14,Balneário Camboriú,0.0
2020-03-15,Balneário Camboriú,0.0
2020-03-16,Balneário Camboriú,0.0
2020-03-17,Balneário Camboriú,0.0
2020-03-18,Balneário Camboriú,2.0
2020-03-19,Balneário Camboriú,4.0
