date,Florianópolis,Itajaí,Criciúma,Blumenau,Braço do Norte,Balneário Camboriú,Tubarão,São José,Joinville,Imbituba,Chapecó,Camboriú,Porto Belo,Navegantes,Gravatal,Siderópolis,Rancho Queimado,Jaraguá do Sul,Jaguaruna,Timbé do Sul,Tijucas,São Pedro de Alcântara,São Ludgero,São Lourenço do Oeste,Pomerode,Laguna,Lages,Itapema,Içara,Gaspar,Canelinha,Antônio Carlos,Balneário Arroio do Silva,Brusque,Papanduva,São Francisco do Sul,Urussanga,Indaial,Pescaria Brava,Biguaçu,Joaçaba,Paulo Lopes,Araranguá,Governador Celso Ramos,Irati,Mafra,Morro da Fumaça,Palhoça,Sombrio,Outros estados,Outros países,Abelardo Luz,Balneário Gaivota,Itapiranga,Pedras Grandes,São Domingos,Águas Mornas,Botuvera,Santo Amaro da Imperatriz,Timbó,Videira,Anita Garibaldi,Sangão,Santa Rosa de Lima,Botuverá,Forquilhinha,Guabiruba,São Bento do Sul,Tangará,Aurora,Balneário Piçarras,Barra Velha,Caçador,Cocal do Sul,Garopaba,Guaramirim,Massaranduba,Orleans,Rio Negrinho,Rio Rufino,Schroeder,Vidal Ramos,Nova Trento,Santa Cecília,Ituporanga,Capivari de Baixo,Ipumirim,Rio do Sul,Treze de Maio
12/03/2020,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/03/2020,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/03/2020,2.0,,,,,,,,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/03/2020,2.0,,,,1.0,,,,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/03/2020,3.0,,,,1.0,,,,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/03/2020,3.0,,,,1.0,,,,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/03/2020,5.0,,,,2.0,2.0,2.0,,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/03/2020,6.0,,,,4.0,4.0,2.0,1.0,2.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/03/2020,8.0,1.0,1.0,,4.0,4.0,2.0,1.0,2.0,1.0,,,,,,,2.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/03/2020,10.0,6.0,6.0,,6.0,6.0,6.0,2.0,4.0,2.0,2.0,,,1.0,1.0,,2.0,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/03/2020,10.0,7.0,7.0,6.0,7.0,6.0,6.0,3.0,4.0,2.0,2.0,,,1.0,1.0,,2.0,1.0,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,15.0,7.0,9.0,7.0,9.0,6.0,7.0,4.0,4.0,2.0,2.0,,2.0,1.0,2.0,,2.0,2.0,1.0,,,,,,1.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
